
objectid;nombre;direccion;tipozona;tipoemisio;so2;no2;o3;co;pm10;pm25;fecha_carg;calidad_am
15;Molí del Sol;MOLÍ DEL SOL;Suburbana;Tráfico;4.0;9.0;94.0;0.0;33.0;20.0;2025-06-12T22:00:00+00:00;Razonablemente Buena
18;Viveros;VIVERS;Urbana;Fondo;0.0;0.0;99.0;N/A;N/A;N/A;2025-06-12T22:00:00+00:00;Razonablemente Buena
19;Centro;VALÈNCIA CENTRE;Urbana;Tráfico;N/A;5.0;N/A;N/A;38.0;24.0;2025-06-12T22:00:00+00:00;Regular
12;Dr. Lluch;DR.LLUCH;Urbana;Tráfico;N/A;4.0;N/A;N/A;24.0;16.0;2025-06-12T22:00:00+00:00;Razonablemente Buena
14;Boulevar Sur;BULEVARD SUD;Urbana;Tráfico;5.0;5.0;86.0;N/A;N/A;N/A;2025-06-12T22:00:00+00:00;Razonablemente Buena
16;Pista de Silla;PISTA DE SILLA;Urbana;Tráfico;0.0;3.0;89.0;0.0;41.0;24.0;2025-06-12T22:00:00+00:00;Regular
21;Olivereta;OLIVERETA;Urbana;Tráfico;N/A;34.0;N/A;N/A;37.0;25.0;2025-06-12T22:00:00+00:00;Regular
22;Patraix;PATRAIX;Urbana;Tráfico;N/A;6.0;N/A;N/A;27.0;22.0;2025-06-12T22:00:00+00:00;Regular
17;Universidad Politécnica;POLITÈCNIC;Suburbana;Fondo;3.0;8.0;92.0;N/A;35.0;21.0;2025-06-12T22:00:00+00:00;Regular
13;Francia;AVDA.FRANCIA;Urbana;Tráfico;1.0;3.0;86.0;0.0;41.0;26.0;2025-06-12T22:00:00+00:00;Desfavorable
20;Cabanyal;CABANYAL;Urbana;Fondo;N/A;4.0;N/A;N/A;36.0;20.0;2025-06-12T22:00:00+00:00;Razonablemente Buena
14;Boulevar Sur;BULEVARD SUD;Urbana;Tráfico;6.0;4.0;86.0;N/A;N/A;N/A;2025-06-12T23:00:00+00:00;Razonablemente Buena
13;Francia;AVDA.FRANCIA;Urbana;Tráfico;1.0;3.0;85.0;0.0;41.0;26.0;2025-06-12T23:00:00+00:00;Desfavorable
15;Molí del Sol;MOLÍ DEL SOL;Suburbana;Tráfico;4.0;7.0;92.0;0.0;33.0;20.0;2025-06-12T23:00:00+00:00;Razonablemente Buena
17;Universidad Politécnica;POLITÈCNIC;Suburbana;Fondo;4.0;8.0;90.0;N/A;35.0;21.0;2025-06-12T23:00:00+00:00;Regular
18;Viveros;VIVERS;Urbana;Fondo;0.0;1.0;98.0;N/A;N/A;N/A;2025-06-12T23:00:00+00:00;Razonablemente Buena
22;Patraix;PATRAIX;Urbana;Tráfico;N/A;4.0;N/A;N/A;27.0;22.0;2025-06-12T23:00:00+00:00;Regular
16;Pista de Silla;PISTA DE SILLA;Urbana;Tráfico;0.0;2.0;91.0;0.0;41.0;24.0;2025-06-12T23:00:00+00:00;Regular
12;Dr. Lluch;DR.LLUCH;Urbana;Tráfico;N/A;6.0;N/A;N/A;24.0;16.0;2025-06-12T23:00:00+00:00;Razonablemente Buena
19;Centro;VALÈNCIA CENTRE;Urbana;Tráfico;N/A;6.0;N/A;N/A;39.0;24.0;2025-06-12T23:00:00+00:00;Regular
20;Cabanyal;CABANYAL;Urbana;Fondo;N/A;4.0;N/A;N/A;37.0;20.0;2025-06-12T23:00:00+00:00;Razonablemente Buena
21;Olivereta;OLIVERETA;Urbana;Tráfico;N/A;34.0;N/A;N/A;37.0;25.0;2025-06-12T23:00:00+00:00;Regular
13;Francia;AVDA.FRANCIA;Urbana;Tráfico;1.0;2.0;85.0;0.0;41.0;26.0;2025-06-13T00:00:00+00:00;Desfavorable
15;Molí del Sol;MOLÍ DEL SOL;Suburbana;Tráfico;4.0;7.0;91.0;0.0;33.0;20.0;2025-06-13T00:00:00+00:00;Razonablemente Buena
19;Centro;VALÈNCIA CENTRE;Urbana;Tráfico;N/A;4.0;N/A;N/A;39.0;24.0;2025-06-13T00:00:00+00:00;Regular
16;Pista de Silla;PISTA DE SILLA;Urbana;Tráfico;0.0;2.0;93.0;0.0;42.0;24.0;2025-06-13T00:00:00+00:00;Regular
17;Universidad Politécnica;POLITÈCNIC;Suburbana;Fondo;4.0;10.0;88.0;N/A;36.0;21.0;2025-06-13T00:00:00+00:00;Regular
21;Olivereta;OLIVERETA;Urbana;Tráfico;N/A;34.0;N/A;N/A;37.0;25.0;2025-06-13T00:00:00+00:00;Regular
18;Viveros;VIVERS;Urbana;Fondo;0.0;1.0;96.0;N/A;N/A;N/A;2025-06-13T00:00:00+00:00;Razonablemente Buena
14;Boulevar Sur;BULEVARD SUD;Urbana;Tráfico;6.0;4.0;86.0;N/A;N/A;N/A;2025-06-13T00:00:00+00:00;Razonablemente Buena
12;Dr. Lluch;DR.LLUCH;Urbana;Tráfico;N/A;4.0;N/A;N/A;24.0;16.0;2025-06-13T00:00:00+00:00;Razonablemente Buena
20;Cabanyal;CABANYAL;Urbana;Fondo;N/A;3.0;N/A;N/A;36.0;20.0;2025-06-13T00:00:00+00:00;Razonablemente Buena
22;Patraix;PATRAIX;Urbana;Tráfico;N/A;4.0;N/A;N/A;27.0;22.0;2025-06-13T00:00:00+00:00;Regular
13;Francia;AVDA.FRANCIA;Urbana;Tráfico;1.0;2.0;86.0;0.0;41.0;27.0;2025-06-13T01:00:00+00:00;Desfavorable
